A1,A17
1100015,Sim
1100023,Sim
1100031,Não
1100049,Sim
1100056,Sim
1100064,Sim
1100072,Não
1100080,Não
1100098,Sim
1100106,Não
1100114,Sim
1100122,Sim
1100130,Sim
1100148,Não
1100155,Sim
1100189,Sim
1100205,Sim
1100254,Sim
1100262,Não
1100288,Sim
1100296,Não
1100304,Sim
1100320,Sim
1100338,Sim
1100346,Sim
1100379,Sim
1100403,Não
1100452,Sim
1100502,Não
1100601,Sim
1100700,Não
1100809,Sim
1100908,Não
1100924,Não
1100940,Não
1101005,Não
1101104,Não
1101203,Não
1101302,Não
1101401,Não
1101435,Não
1101450,Não
1101468,Não
1101476,Não
1101484,Não
1101492,Sim
1101500,Não
1101559,Não
1101609,Não
1101708,Sim
1101757,Não
1101807,Não
1200013,Não
1200054,Sim
1200104,Sim
1200138,Não
1200179,Sim
1200203,Sim
1200252,Sim
1200302,Sim
1200328,Não
1200336,Não
1200344,Não
1200351,Não
1200385,Não
1200393,Não
1200401,Sim
1200427,Não
1200435,Não
1200450,Não
1200500,Sim
1200609,Sim
1200708,Sim
1200807,Não
1300029,Não
1300060,Não
1300086,Não
1300102,Não
1300144,Sim
1300201,Não
1300300,Sim
1300409,Sim
1300508,Sim
1300607,Não
1300631,Não
1300680,Não
1300706,Sim
1300805,Sim
1300839,Não
1300904,Não
1301001,Sim
1301100,Sim
1301159,Sim
1301209,Sim
1301308,Sim
1301407,Sim
1301506,Não
1301605,Sim
1301654,Não
1301704,Sim
1301803,Sim
1301852,Sim
1301902,Sim
1301951,Não
1302009,Sim
1302108,Não
1302207,Sim
1302306,Sim
1302405,Sim
1302504,Sim
1302553,Não
1302603,Sim
1302702,Sim
1302801,Não
1302900,Sim
1303007,Não
1303106,Sim
1303205,Sim
1303304,Não
1303403,Sim
1303502,Não
1303536,Sim
1303569,Sim
1303601,Não
1303700,Sim
1303809,Sim
1303908,Sim
1303957,Não
1304005,Não
1304062,Sim
1304104,Sim
1304203,Sim
1304237,Não
1304260,Sim
1304302,Não
1304401,Não
1400027,Não
1400050,Não
1400100,Sim
1400159,Sim
1400175,Não
1400209,Não
1400233,Não
1400282,Sim
1400308,Não
1400407,Não
1400456,Não
1400472,Não
1400506,Não
1400605,Não
1400704,Não
1500107,Sim
1500131,Não
1500206,Sim
1500305,Sim
1500347,Sim
1500404,Sim
1500503,Sim
1500602,Sim
1500701,Sim
1500800,Sim
1500859,Sim
1500909,Sim
1500958,Sim
1501006,Sim
1501105,Sim
1501204,Sim
1501253,Não
1501303,Sim
1501402,Sim
1501451,Sim
1501501,Sim
1501576,Sim
1501600,Não
1501709,Sim
1501725,Sim
1501758,Não
1501782,Sim
1501808,Sim
1501907,Sim
1501956,Não
1502004,Sim
1502103,Sim
1502152,Sim
1502202,Sim
1502301,Sim
1502400,Sim
1502509,Sim
1502608,Sim
1502707,Sim
1502756,Sim
1502764,Não
1502772,Sim
1502806,Sim
1502855,Sim
1502905,Sim
1502939,Sim
1502954,Sim
1503002,Sim
1503044,Sim
1503077,Sim
1503093,Sim
1503101,Sim
1503200,Sim
1503309,Sim
1503408,Não
1503457,Sim
1503507,Sim
1503606,Sim
1503705,Sim
1503754,Sim
1503804,Sim
1503903,Sim
1504000,Sim
1504059,Sim
1504109,Não
1504208,Sim
1504307,Sim
1504406,Sim
1504422,Sim
1504455,Sim
1504505,Sim
1504604,Sim
1504703,Sim
1504752,Não
1504802,Sim
1504901,Sim
1504950,Sim
1504976,Sim
1505007,Não
1505031,Sim
1505064,Sim
1505106,Sim
1505205,Sim
1505304,Sim
1505403,Não
1505437,Sim
1505486,Sim
1505494,Sim
1505502,Sim
1505536,Sim
1505551,Sim
1505601,Não
1505635,Sim
1505650,Sim
1505700,Sim
1505809,Sim
1505908,Sim
1506005,Sim
1506104,Sim
1506112,Não
1506138,Sim
1506161,Não
1506187,Sim
1506195,Sim
1506203,Sim
1506302,Sim
1506351,Sim
1506401,Sim
