rodada;posicao_ebt;nota;dt_inicio_avaliacao;dt_fim_avaliacao;uf;nome_uf;municipio;cod_ibge;populacao;site_municipal;site_esic;regulamento_pagina_prefeitura;regulamento_pagina_prefeiturap;regulamentou_lai;regulamentou_laip;tipo_regulamentacao_lai;normativo_lai;dt_normativo_lai;regulamentou_criacao_sic;regulamentou_criacao_sicp;previsao_calassificacao;previsao_calassificacaop;previsao_responsabilizacao_servidor;previsao_responsabilizacao_servidorp;regulamentou_instancia_recursal;regulamentou_instancia_recursalp;pontos_regulamentacao;indicacao_orgao;indicacao_orgaop;indicacao_endereco;indicacao_enderecop;indicacao_telefone;indicacao_telefonep;indicacao_horario;indicacao_horariop;alternativa_sic_eletronico;alternativa_sic_eletronicop;envio_documento_cadastro;assinatura_reconhecida;declaracao_responsabilidade;maioridade;outras_exigencias;nao_exige_identificacaop;possibilidade_acompanhamento;possibilidade_acompanhamentop;resposta_no_prazo_pergunta_1;resposta_no_prazo_pergunta_2;resposta_no_prazo_pergunta_3;resposta_no_prazo_pergunta_4;pontos_prazo_perguntas;respondeu_pergunta_1;respondeu_pergunta_2;respondeu_pergunta_3;respondeu_pergunta_4;pontos_resposta_perguntas;pontos_transp_passiva;total_pontos;nota_1
1;11;8.47;22/01/2015;17/03/2015;PB;Paraíba;São José do Sabugi;2514701;4114;www.saojosedosabugi.pb.gov.br;http://www.saojosedosabugi.pb.gov.br/prefeitura/informacao;Sim;100;Sim;150;LEI / DECRETO;488 / 15;29/12/2014  / 29/12/2015;SIM;200;SIM;150;SIM;100;Sim;200;900;SIM;200;NÃO;0;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;NÃO;SIM;SIM;350;SIM;NÃO;SIM;SIM;700;2150;3050;8.47
1;11;8.47;01/04/2015;24/04/2015;PB;Paraíba;João Pessoa;2507507;780738;http://www.joaopessoa.pb.gov.br/;http://transparencia.joaopessoa.pb.gov.br/sact/index.php;Sim;100;Sim;150;LEI;12645;25/10/2013;SIM;200;SIM;150;SIM;100;Sim;200;900;SIM;200;SIM;100;SIM;100;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;NÃO;SIM;SIM;SIM;350;NÃO;SIM;SIM;SIM;700;2150;3050;8.47
1;11;8.47;01/04/2015;24/04/2015;SC;Santa Catarina;Florianópolis;4205407;461524;http://www.pmf.sc.gov.br/;http://www.pmf.sc.gov.br/ouvidoria/index.php?pagina=requisicao;Sim;100;Sim;150;DECRETO;9988;15/05/2012;SIM;200;NÃO;0;NÃO;0;Sim;200;650;SIM;200;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;NÃO;SIM;SIM;700;2400;3050;8.47
1;14;8.33;22/01/2015;17/03/2015;PB;Paraíba;Taperoá;2516508;15284;www.taperoa.pb.gov.br;www.taperoa.pb.gov.br/prefeitura/informação;Sim;100;Sim;150;DECRETO;42;23/12/2013;SIM;200;NÃO;0;SIM;100;Sim;200;750;SIM;200;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;NÃO;SIM;SIM;SIM;350;NÃO;SIM;SIM;SIM;700;2250;3000;8.33
1;15;8.19;02/02/2015;16/03/2015;SC;Santa Catarina;Monte Carlo;4211058;9650;http://www.montecarlo.sc.gov.br/;http://lai.fecam.org.br/montecarlo/index/consultar-solicitacao;Sim;100;Sim;150;DECRETO;16;21/02/2013;SIM;200;SIM;150;SIM;100;Sim;200;900;NÃO;0;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;NÃO;SIM;SIM;350;SIM;NÃO;SIM;SIM;700;2050;2950;8.19
1;15;8.19;29/01/2015;12/03/2015;SC;Santa Catarina;Bombinhas;4202453;16897;http://www.bombinhas.sc.gov.br/;http://lai.fecam.org.br/bombinhas/index/consultar-solicitacao;Sim;100;Sim;150;DECRETO;1759;29/05/2013;SIM;200;SIM;150;SIM;100;Sim;200;900;NÃO;0;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;NÃO;SIM;SIM;SIM;350;NÃO;SIM;SIM;SIM;700;2050;2950;8.19
1;15;8.19;13/01/2015;17/03/2015;RS;Rio Grande do Sul;São Paulo das Missões;4319307;6385;http://www.saopaulodasmissoes.rs.gov.br/;http://www.saopaulodasmissoes.rs.gov.br/SIC.aspx;Sim;100;Sim;150;LEI;1409;21/06/2012;SIM;200;NÃO;0;SIM;100;Sim;200;750;NÃO;0;NÃO;0;NÃO;0;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;SIM;SIM;SIM;1000;2200;2950;8.19
1;18;7.92;31/03/2015;23/04/2015;RS;Rio Grande do Sul;Porto Alegre;4314902;1472482;http://www2.portoalegre.rs.gov.br/portal_pmpa_novo/;http://www2.portoalegre.rs.gov.br/transparencia/default.php?p_secao=29;Sim;100;Sim;150;DECRETO;18302;23/05/2013;SIM;200;SIM;150;SIM;100;Sim;200;900;SIM;200;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;SIM;0;Sim;200;SIM;SIM;NÃO;SIM;350;SIM;SIM;NÃO;SIM;700;1950;2850;7.92
1;18;7.92;31/03/2015;23/04/2015;MG;Minas Gerais;Belo Horizonte;3106200;2491109;http://www.belohorizonte.mg.gov.br/;http://portalpbh.pbh.gov.br/pbh/ecp/comunidade.do?evento=portlet&pIdPlc=ecpTaxonomiaMenuPortal&app=acessoinformacao&tax=27822&lang=pt_BR&pg=10125&taxp=0&;Sim;100;Sim;150;DECRETO;14906;15/05/2012;SIM;200;SIM;150;SIM;100;Sim;200;900;SIM;200;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;NÃO;SIM;350;SIM;NÃO;NÃO;SIM;400;1950;2850;7.92
1;20;7.78;01/04/2015;24/04/2015;GO;Goiás;Goiânia;5208707;1412364;http://www.goiania.go.gov.br/;http://www.goiania.go.gov.br/shtml/transparencia/sic.shtml;Sim;100;Sim;150;LEI;9262;22/05/2013;SIM;200;NÃO;0;SIM;100;Sim;200;750;SIM;200;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Não;0;NÃO;SIM;SIM;SIM;350;NÃO;SIM;SIM;SIM;700;2050;2800;7.78
1;20;7.78;31/03/2015;24/04/2015;AC;Acre;Rio Branco;1200401;363928;http://www.riobranco.ac.gov.br/;http://esic.riobranco.ac.gov.br/sistema/site/index.html?ReturnUrl=%2fsistema%2f;Sim;100;Sim;150;LEI / DECRETO;1915 / 3556;25/06/2012 / 15/05/2012;SIM;200;SIM;150;SIM;100;Sim;200;900;NÃO;0;NÃO;0;NÃO;0;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;NÃO;SIM;SIM;700;1900;2800;7.78
1;22;7.64;21/01/2015;17/03/2015;PE;Pernambuco;Sairé;2612000;10633;www.saire.pe.gov.br;http://e-gov.betha.com.br/transparencia/01006-000/con_registropedidoinformacao.faces;Não;0;Sim;150;DECRETO;2;02/01/2015;SIM;200;NÃO;0;NÃO;0;Sim;200;550;NÃO;0;NÃO;0;NÃO;0;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;SIM;SIM;SIM;1000;2200;2750;7.64
1;22;7.64;01/04/2015;24/04/2015;RN;Rio Grande do Norte;Natal;2408102;862044;http://www.natal.rn.gov.br/;http://natal.rn.gov.br/leideacesso/index/;Sim;100;Sim;150;DECRETO;10087;11/10/2013;SIM;200;NÃO;0;SIM;100;Sim;200;750;SIM;200;SIM;100;SIM;100;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;SIM;NÃO;NÃO;400;2000;2750;7.64
1;22;7.64;05/02/2015;17/03/2015;RS;Rio Grande do Sul;Camargo;4303558;2710;http://www.pmcamargo.com.br/;http://transparencia.pmcamargo.com.br/sic/;Sim;100;Sim;150;LEI;1584;29/05/2013;NÃO;0;NÃO;0;NÃO;0;Não;0;250;SIM;200;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Não;0;SIM;SIM;SIM;SIM;500;SIM;SIM;SIM;SIM;1000;2500;2750;7.64
1;25;7.36;21/01/2015;17/03/2015;RS;Rio Grande do Sul;Imigrante;4310363;3141;www.imigrante-rs.com.br;http://transparencia.imigrante-rs.com.br:8083/?secao=acesso_informacao#;Sim;100;Sim;150;DECRETO;1307;30/10/2012;SIM;200;NÃO;0;SIM;100;Sim;200;750;NÃO;0;NÃO;0;NÃO;0;Não;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;NÃO;SIM;Sim;SIM;700;1900;2650;7.36
1;25;7.36;28/01/2015;17/03/2015;RS;Rio Grande do Sul;Muitos Capões;4312617;3127;www.muitoscapoes.rs.gov.br;www.muitoscapoes.rs.gov.br;Não;0;Sim;150;LEI;820;17/12/2014;SIM;200;NÃO;0;SIM;100;Sim;200;650;NÃO;0;NÃO;0;NÃO;0;Não;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Não;0;SIM;SIM;SIM;SIM;500;SIM;SIM;SIM;SIM;1000;2000;2650;7.36
