Numero Processo;Tipo do processo;Assunto;Pasta;Entidade;Estado;Cidade;Data de instauracao;Fase atual;Data da fase atual;Investigados;Quantidade de sancoes que impedem contratacao;Outras;Multas
00190025826201403;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2014/12/03 00:00:00.000000000;Anulado por Decisão Administrativa;2018/03/23 00:00:00.000000000;1;;;
00190025826201403;PAR - Administração Nacional;Utilização dissimulada de interposta pessoa para a obtenção de vantagem indevida junto à administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2014/12/03 00:00:00.000000000;Anulado por Decisão Administrativa;2018/03/23 00:00:00.000000000;1;;;
12100000041201622;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Ministério da Fazenda;DF;BRASILIA;2017/06/14 00:00:00.000000000;Instauração/Instrução;2017/06/14 00:00:00.000000000;1;;;
12100000019201763;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Ministério da Fazenda;DF;BRASILIA;2017/06/20 00:00:00.000000000;Instauração/Instrução;2017/06/20 00:00:00.000000000;2;;;
12100000017201774;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Ministério da Fazenda;DF;BRASILIA;2017/07/20 00:00:00.000000000;Instauração/Instrução;2017/07/20 00:00:00.000000000;1;;;
12100000018201719;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Ministério da Fazenda;DF;BRASILIA;2017/07/20 00:00:00.000000000;Instauração/Instrução;2017/07/20 00:00:00.000000000;1;;;
12100000016201720;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Ministério da Fazenda;DF;BRASILIA;2017/06/20 00:00:00.000000000;Instauração/Instrução;2017/06/20 00:00:00.000000000;1;;;
12100000070201775;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério da Fazenda;Ministério da Fazenda;PA;BELEM;2017/06/08 00:00:00.000000000;Instauração/Instrução;2017/06/08 00:00:00.000000000;1;;;
12100000069201741;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério da Fazenda;Ministério da Fazenda;PA;BELEM;2017/06/08 00:00:00.000000000;Instauração/Instrução;2017/06/08 00:00:00.000000000;1;;;
12100000094201562;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério da Fazenda;Ministério da Fazenda;PA;BELEM;2016/10/10 00:00:00.000000000;Julgado;2017/07/28 00:00:00.000000000;1;;;3055.86
12100000070201694;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Ministério da Fazenda;DF;BRASILIA;2017/07/11 00:00:00.000000000;Instauração/Instrução;2017/07/11 00:00:00.000000000;1;;;
12100000050201613;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério da Fazenda;Ministério da Fazenda;DF;BRASILIA;2017/06/14 00:00:00.000000000;Instauração/Instrução;2017/06/14 00:00:00.000000000;2;;;
00190009832201243;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério dos Transportes, Portos e Aviação Civil;Superintendência Regional do DNIT no Estado do Ceará;CE;FORTALEZA;2012/04/24 00:00:00.000000000;Encaminhado para Julgamento;2012/06/12 00:00:00.000000000;1;;;
